Gene,lof.oe_ci.upper
SERPINB10,1.008
SERPINB11,0.811
SERPINB12,1.776
SERPINB13,1.139
SERPINB2,1.03
SERPINB3,1.279
SERPINB4,1.539
SERPINB5,1.143
SERPINB6,0.823
SERPINB7,1.049
SERPINB8,1.006
SERPINB9,1.149
SERPINC1,0.407
SERPIND1,1.233
SERPINE1,0.621
SERPINE2,0.648
SERPINE3,1.45
SERPINF1,0.88
SERPINF2,0.495
SERPING1,0.229
SERPINH1,0.927
SERPINI1,0.459
SERPINI2,1.097
SERTAD1,0.981
SERTAD2,0.421
SERTAD3,1.15
SERTAD4,0.874
SERTM1,0.853
SESN1,0.618
SESN2,0.992
SESN3,0.387
SESTD1,0.468
SET,0.157
SETBP1,0.117
SETD1A,0.279
SETD1B,0.109
SETD2,0.109
SETD3,0.47
SETD4,0.909
SETD5,0.285
SETD6,1.617
SETD7,0.605
SETD9,1.455
SETDB1,0.29
SETDB2,0.826
SETDB2-PHF11,0.91
SETMAR,0.967
SETSIP,1.091
SETX,0.437
SEZ6,0.658
SEZ6L,0.399
SEZ6L2,0.515
SF1,0.22
SF3A1,0.227
SF3A2,0.173
SF3A3,0.26
SF3B1,0.1
SF3B2,0.252
SF3B3,0.285
SF3B4,0.244
SF3B5,1.019
SF3B6,0.566
SFI1,1.015
SFMBT1,0.402
SFMBT2,0.434
SFN,0.517
SFPQ,0.284
SFR1,1.289
SFRP1,0.672
SFRP2,0.884
SFRP4,0.857
SFRP5,1.214
SFSWAP,0.224
SFT2D1,1.509
SFT2D2,1.158
SFT2D3,1.892
SFTA2,1.114
SFTA3,
SFTPA1,0.998
SFTPA2,1.403
SFTPB,0.83
SFTPC,0.946
SFTPD,0.585
SFXN1,1.006
SFXN2,1.061
SFXN3,1.015
SFXN4,1.139
SFXN5,1.062
SGCA,1.217
SGCB,1.286
SGCD,0.85
SGCE,0.556
SGCG,1.158
SGCZ,1.238
SGF29,0.572
SGIP1,0.323
SGK1,0.64
SGK2,1.001
SGK3,0.868
SGMS1,0.439
SGMS2,0.624
SGO1,1.036
SGO2,0.817
SGPL1,0.648
SGPP1,1.132
SGPP2,1.128
SGSH,1.243
SGSM1,0.673
SGSM2,0.673
SGSM3,1.138
SGTA,0.734
SGTB,0.556
SH2B1,0.332
SH2B2,1.379
SH2B3,1.153
SH2D1B,1.182
SH2D2A,1.038
SH2D3A,1.078
SH2D3C,0.466
SH2D4A,1.184
SH2D4B,0.893
SH2D5,1.241
SH2D6,1.412
SH2D7,1.071
SH3BGR,1.604
SH3BGRL2,1.823
SH3BGRL3,1.214
SH3BP1,0.903
SH3BP2,0.917
SH3BP4,0.658
SH3BP5,0.557
SH3BP5L,0.631
SH3D19,0.624
SH3D21,1.194
SH3GL1,0.599
SH3GL2,0.935
SH3GL3,0.942
SH3GLB1,0.655
SH3GLB2,0.761
SH3PXD2A,0.304
SH3PXD2B,0.655
SH3RF1,0.594
SH3RF2,0.872
SH3RF3,0.694
SH3TC1,1.38
SH3TC2,0.8
SH3YL1,1.245
SHANK1,0.363
SHANK2,0.078
SHANK3,0.428
SHARPIN,0.901
SHB,0.74
SHBG,0.974
SHC1,0.673
SHC2,1.364
SHC3,0.421
SHC4,0.707
SHCBP1,1.016
SHCBP1L,1.17
SHD,1.295
SHE,0.366
SHF,0.976
SHFL,0.593
SHH,0.493
SHISA2,1.329
SHISA3,1.389
SHISA4,0.991
SHISA5,1.14
SHISA6,0.655
SHISA7,0.784
SHISA8,1.962
SHISA9,0.574
SHISAL1,0.684
SHISAL2A,1.88
SHISAL2B,1.396
SHKBP1,1.032
SHLD1,0.932
SHLD2,0.643
SHLD3,1.019
SHMT1,1.014
SHMT2,0.784
SHOC1,0.844
SHOC2,0.156
SHOX2,0.659
SHPK,1.37
SHPRH,0.542
SHQ1,1.161
SHROOM1,1.246
SHROOM3,0.429
SHTN1,0.618
SI,1.009
SIAE,0.943
SIAH1,0.298
SIAH2,0.46
SIAH3,1.126
SIDT1,0.993
SIDT2,0.678
SIGIRR,1.351
SIGLEC1,1.044
SIGLEC10,0.787
SIGLEC11,1.258
SIGLEC12,0.965
SIGLEC14,0.79
SIGLEC15,1.931
SIGLEC16,1.206
SIGLEC5,1.124
SIGLEC6,0.959
SIGLEC7,0.994
SIGLEC8,0.882
SIGLEC9,0.863
SIGLECL1,0.676
SIGMAR1,0.798
SIK2,0.4
SIK3,0.249
SIKE1,0.545
SIL1,0.679
SIM1,0.332
SIM2,0.62
SIMC1,0.888
SIN3A,0.14
SIN3B,0.245
SINHCAF,0.375
SIPA1,0.933
SIPA1L1,0.225
SIPA1L2,0.412
SIPA1L3,0.551
SIRPA,0.28
SIRPB1,0.892
SIRPB2,0.454
SIRPD,1.593
SIRPG,1.362
SIRT1,0.415
SIRT2,0.972
SIRT3,0.911
SIRT4,1.173
SIRT5,0.948
SIRT6,0.906
SIRT7,0.928
SIT 1.00,1.24
SIVA1,0.765
SIX1,0.659
SIX2,1.24
SIX3,0.387
SIX4,0.676
SIX5,1.08
SIX6,0.921
SKA1,0.849
SKA2,1.539
SKA3,1.15
SKAP1,0.963
SKAP2,1.507
SKI,0.809
SKIDA1,0.599
SKIL,0.525
SKIV2L,0.867
SKOR1,0.805
SKOR2,1.23
SKP1,0.306
SKP2,0.533
SLA,0.84
SLA2,1.036
SLAIN1,0.302
SLAIN2,0.712
SLAMF1,0.608
SLAMF6,0.687
SLAMF7,0.978
SLAMF8,0.985
SLAMF9,0.939
SLBP,1.082
SLC10A1,1.956
SLC10A2,1.464
SLC10A4,1.18
SLC10A5,1.892
SLC10A6,1.201
SLC10A7,0.904
SLC11A1,1.12
SLC11A2,0.78
SLC12A1,0.971
SLC12A2,0.715
SLC12A3,0.995
SLC12A4,0.79
SLC12A5,0.185
SLC12A6,0.621
SLC12A7,0.985
SLC12A8,1.105
SLC12A9,0.844
SLC13A1,1.047
SLC13A2,0.86
SLC13A3,0.898
SLC13A4,0.435
SLC13A5,0.549
SLC14A1,1.093
SLC14A2,0.989
SLC15A1,1.117
SLC15A2,1.083
SLC15A3,1.021
SLC15A4,0.846
SLC15A5,1.336
SLC16A1,0.591
SLC16A10,0.86
SLC16A11,1.712
SLC16A12,0.623
SLC16A13,1.299
SLC16A14,0.568
SLC16A3,1.402
SLC16A4,1.02
SLC16A5,1.121
SLC16A6,0.695
SLC16A7,1.233
SLC16A8,1.942
SLC16A9,0.683
SLC17A1,1.144
SLC17A2,0.878
SLC17A3,1.181
SLC17A4,0.785
SLC17A5,1.027
SLC17A6,0.668
SLC17A7,0.375
SLC17A8,0.691
SLC17A9,1.146
SLC18A1,1.473
SLC18A2,0.68
SLC18A3,1.213
SLC18B1,1.537
SLC19A1,1.491
SLC19A2,0.851
SLC19A3,0.881
SLC1A1,0.815
SLC1A2,0.563
SLC1A3,0.586
SLC1A4,0.795
SLC1A5,0.829
SLC1A6,0.558
SLC1A7,1.121
SLC20A1,0.621
SLC20A2,0.627
SLC22A1,1.173
SLC22A10,1.288
SLC22A11,1.058
SLC22A12,1.379
SLC22A13,1.033
SLC22A14,1.122
SLC22A15,0.863
SLC22A16,1.166
SLC22A17,0.9
SLC22A18,1.207
SLC22A18AS,1.453
SLC22A2,1.117
SLC22A23,0.561
SLC22A24,1.483
SLC22A25,1.173
SLC22A3,0.905
SLC22A31,1.852
SLC22A4,0.87
SLC22A5,0.904
SLC22A6,0.929
SLC22A7,0.952
SLC22A8,1.003
SLC22A9,1.398
SLC23A1,0.573
SLC23A2,0.72
SLC23A3,0.784
SLC24A1,0.709
SLC24A2,0.727
SLC24A3,0.429
SLC24A4,0.827
SLC24A5,1.112
SLC25A1,1.034
SLC25A10,1.081
SLC25A11,0.527
SLC25A12,0.525
SLC25A13,0.915
SLC25A15,0.917
SLC25A16,0.963
SLC25A17,0.869
SLC25A18,1.059
SLC25A19,0.881
SLC25A2,1.059
SLC25A20,1.052
SLC25A21,1.467
SLC25A22,1.014
SLC25A23,0.815
SLC25A24,1.106
SLC25A25,0.665
SLC25A26,1.109
SLC25A27,1.015
SLC25A28,0.417
SLC25A29,1.343
SLC25A3,0.532
SLC25A30,1.06
SLC25A31,1.402
SLC25A32,1.109
SLC25A33,0.742
SLC25A34,1.283
SLC25A35,1.23
SLC25A36,0.919
SLC25A37,0.704
SLC25A38,1.053
SLC25A39,1.156
SLC25A4,0.687
SLC25A40,1.229
SLC25A41,1.267
SLC25A42,0.868
SLC25A44,0.796
SLC25A45,1.109
SLC25A46,1.195
SLC25A47,1.442
SLC25A48,1.139
SLC25A51,0.908
SLC25A52,1.117
SLC26A1,1.849
SLC26A11,1.191
SLC26A2,1.091
SLC26A3,0.759
SLC26A4,1.527
SLC26A5,0.752
SLC26A6,0.905
SLC26A7,0.998
SLC26A8,0.779
SLC26A9,0.644
SLC27A1,1.115
SLC27A2,1.088
SLC27A3,1.262
SLC27A4,0.661
SLC27A5,1.052
SLC27A6,1.389
SLC28A1,0.998
SLC28A2,1.126
SLC28A3,0.813
SLC29A1,0.674
SLC29A2,1.015
SLC29A3,0.933
SLC29A4,1.013
SLC2A1,0.131
SLC2A10,1.087
SLC2A11,1.117
SLC2A12,0.702
SLC2A13,0.622
SLC2A14,0.391
SLC2A2,0.786
SLC2A3,0.65
SLC2A4,0.773
SLC2A4RG,0.979
SLC2A5,1.195
SLC2A6,1.214
SLC2A7,1.293
SLC2A8,1.42
SLC2A9,0.97
SLC30A1,0.409
SLC30A10,0.848
SLC30A2,0.699
SLC30A3,0.823
SLC30A4,0.652
SLC30A5,0.633
SLC30A6,0.861
SLC30A7,1.013
SLC30A8,0.88
SLC30A9,0.587
SLC31A1,0.586
SLC31A2,1.654
SLC32A1,0.396
SLC33A1,0.555
SLC34A1,1.278
SLC34A2,1.019
SLC34A3,1.626
SLC35A1,0.682
SLC35A3,1.045
SLC35A4,0.794
SLC35A5,0.872
SLC35B1,0.919
SLC35B2,0.659
SLC35B3,1.138
SLC35B4,0.799
SLC35C1,0.664
SLC35C2,0.908
SLC35D1,0.981
SLC35D2,1.644
SLC35D3,1.545
SLC35E1,0.679
SLC35E2A,0.74
SLC35E2B,1.09
SLC35E3,1.266
SLC35E4,1.334
SLC35F1,0.388
SLC35F2,0.887
SLC35F3,0.552
SLC35F4,0.604
SLC35F5,1.104
SLC35F6,1.262
SLC35G1,0.904
SLC35G2,1.029
SLC35G3,0.901
SLC35G4,1.31
SLC35G5,1.213
SLC35G6,1.376
SLC36A1,0.669
SLC36A2,1.097
SLC36A3,0.914
SLC36A4,1.412
SLC37A1,0.711
SLC37A2,1.009
SLC37A3,0.99
SLC37A4,1.252
SLC38A1,0.48
SLC38A10,0.776
SLC38A11,1.573
SLC38A2,0.308
SLC38A3,0.433
SLC38A4,0.509
SLC38A6,1.424
SLC38A7,0.813
SLC38A8,1.664
SLC38A9,0.898
SLC39A1,1.198
SLC39A10,0.328
SLC39A11,1.138
SLC39A12,1.092
SLC39A13,0.624
SLC39A14,0.547
SLC39A2,1.207
SLC39A3,0.721
SLC39A4,1.21
SLC39A5,1.09
SLC39A6,0.976
SLC39A7,0.836
SLC39A8,0.522
SLC39A9,0.742
SLC3A1,1.355
SLC3A2,0.903
SLC40A1,0.445
SLC41A1,0.587
SLC41A2,0.599
SLC41A3,1.189
SLC43A1,0.686
SLC43A2,0.808
SLC43A3,0.765
SLC44A1,0.43
SLC44A2,0.772
SLC44A3,1.135
SLC44A4,0.891
SLC44A5,0.827
SLC45A1,0.69
SLC45A2,1.022
SLC45A3,0.728
SLC45A4,0.671
SLC46A1,0.73
SLC46A2,1.015
SLC46A3,0.902
SLC47A1,1.053
SLC47A2,0.977
SLC48A1,0.898
SLC49A3,1.217
SLC49A4,0.94
SLC4A1,0.407
SLC4A10,0.352
SLC4A11,0.886
SLC4A1AP,0.814
SLC4A2,0.42
SLC4A3,0.558
SLC4A4,0.308
SLC4A5,0.884
SLC4A7,0.374
SLC4A8,0.452
SLC4A9,1.152
SLC50A1,1.071
SLC51A,0.924
SLC51B,1.641
SLC52A1,1.121
SLC52A2,0.946
SLC52A3,0.771
SLC5A1,0.705
SLC5A10,0.997
SLC5A11,0.768
SLC5A12,0.774
SLC5A2,1.135
SLC5A3,0.373
SLC5A4,0.957
SLC5A5,0.99
SLC5A6,0.609
SLC5A7,0.462
SLC5A8,0.99
SLC5A9,0.931
SLC66A1,0.975
SLC66A2,1.141
SLC66A3,1.41
SLC6A1,0.085
SLC6A11,0.533
SLC6A12,0.856
SLC6A13,1.059
SLC6A15,0.544
SLC6A16,0.938
SLC6A17,0.451
SLC6A18,1.143
SLC6A19,1.201
SLC6A2,0.485
SLC6A20,1.305
SLC6A3,0.393
SLC6A4,0.421
SLC6A5,0.654
SLC6A6,0.385
SLC6A7,0.981
SLC6A9,0.544
SLC7A1,0.353
SLC7A10,0.773
SLC7A11,0.843
SLC7A13,1.273
SLC7A14,0.778
SLC7A2,1.112
SLC7A4,1.075
SLC7A5,0.563
SLC7A6,0.753
SLC7A6OS,0.956
SLC7A7,1.007
SLC7A8,0.793
SLC7A9,0.907
SLC8A1,0.352
SLC8A2,0.333
SLC8A3,0.752
SLC8B1,0.941
SLC9A1,0.473
SLC9A2,0.77
SLC9A3,0.6
SLC9A3R1,1.053
SLC9A3R2,1.329
SLC9A4,1.063
SLC9A5,0.701
SLC9A8,0.921
SLC9A9,0.929
SLC9B1,0.89
SLC9B2,0.971
SLC9C1,0.792
SLC9C2,0.668
SLCO1A2,1.214
SLCO1B1,1.425
SLCO1B3,1.124
SLCO1B3-SLCO1B7,1.227
SLCO1C1,1.106
SLCO2A1,0.954
SLCO2B1,0.455
SLCO3A1,0.573
SLCO4A1,1.024
SLCO4C1,0.979
SLCO5A1,0.805
SLCO6A1,1.017
SLF1,1.019
SLF2,0.655
SLFN11,1.049
SLFN12,1.098
SLFN12L,1.298
SLFN13,1.063
SLFN14,1.021
SLFN5,0.888
SLFNL1,1.191
SLIRP,1.423
SLIT1,0.364
SLIT2,0.17
SLIT3,0.47
SLITRK1,0.37
SLITRK3,0.364
SLITRK5,0.554
SLITRK6,0.812
SLK,0.613
SLMAP,0.38
SLN,1.634
SLPI,1.793
SLTM,0.441
SLU7,0.78
SLURP1,1.031
SLURP2,1.1
SLX1A,1.06
SLX4,0.896
SLX4IP,1.057
SLX9,1.319
SMAD1,0.281
SMAD2,0.221
SMAD3,0.296
SMAD4,0.172
SMAD5,0.174
SMAD6,1.925
SMAD7,0.339
SMAD9,1.018
SMAGP,1.447
SMAP1,0.452
SMAP2,0.479
SMARCA2,0.317
SMARCA4,0.204
SMARCA5,0.222
SMARCAD1,0.234
SMARCAL1,0.795
SMARCB1,0.162
SMARCC1,0.369
SMARCC2,0.167
SMARCD1,0.339
SMARCD2,0.74
SMARCD3,0.372
SMARCE1,0.301
SMC1B,0.53
SMC2,0.318
SMC3,0.132
SMC4,0.696
SMC5,0.678
SMC6,0.707
SMCHD1,0.342
SMCO1,1.523
SMCO2,1.225
SMCO3,0.946
SMCO4,1.61
SMCP,1.892
SMCR8,0.684
SMDT1,1.749
SMG1,0.094
SMG5,0.528
SMG6,0.526
SMG7,0.308
SMG8,0.726
SMG9,0.941
SMIM1,1.594
SMIM10L1,1.952
SMIM12,1.34
SMIM13,1.37
SMIM14,1.671
SMIM15,1.463
SMIM17,1.046
SMIM18,1.443
SMIM19,0.786
SMIM2,1.425
SMIM20,0.908
SMIM21,1.526
SMIM22,1.977
SMIM23,1.171
SMIM24,0.921
SMIM27,1.939
SMIM29,0.809
SMIM3,1.945
SMIM39,1.925
SMIM4,1.546
SMIM43,
SMIM5,1.194
SMIM6,1.907
SMIM7,1.37
SMIM8,1.714
SMKR1,1.527
SMLR1,1.115
SMN1,1.121
SMNDC1,0.355
SMO,0.706
SMOC1,0.541
SMOC2,0.769
SMOX,0.593
SMPD1,0.97
SMPD2,1.046
SMPD3,0.6
SMPD4,0.741
SMPDL3A,1.25
SMPDL3B,0.968
SMR3A,1.659
SMR3B,1.093
SMTN,0.715
SMTNL1,1.129
SMTNL2,1.363
SMU1,0.084
SMUG1,0.819
SMURF1,0.589
SMURF2,0.547
SMYD1,1.156
SMYD2,1.024
SMYD3,0.821
SMYD4,1.126
SMYD5,0.834
SNAI1,0.896
SNAI2,0.283
SNAI3,1.751
SNAP23,0.737
SNAP25,0.29
SNAP29,0.481
SNAP47,0.716
SNAP91,0.308
SNAPC1,1.926
SNAPC2,1.774
SNAPC3,1.859
SNAPC4,0.981
SNAPC5,1.762
SNAPIN,1.549
SNCA,0.397
SNCAIP,0.636
SNCB,0.689
SNCG,1.305
SND1,0.386
SNED1,0.624
SNF8,0.827
SNIP1,0.865
SNN,1.753
SNORC,1.887
SNPH,0.48
SNRK,0.191
SNRNP200,0.312
SNRNP25,1.263
SNRNP27,1.732
SNRNP35,0.971
SNRNP40,0.581
SNRNP48,1.371
SNRNP70,0.144
SNRPA,0.679
SNRPA1,0.581
SNRPB,0.152
SNRPB2,0.984
SNRPC,0.904
SNRPD1,1.218
SNRPD2,0.298
SNRPD3,0.198
SNRPE,0.954
SNRPF,1.174
SNRPG,1.381
SNRPN,0.503
SNTA1,0.895
SNTB1,0.987
SNTB2,1.055
SNTG1,0.589
SNTG2,1.222
SNTN,1.349
SNU13,0.234
SNUPN,0.798
SNURF,0.968
SNW1,0.121
SNX1,0.667
SNX10,1.518
SNX11,0.848
SNX13,0.347
SNX14,0.789
SNX15,1.116
SNX16,1.312
SNX17,0.705
SNX18,1.1
SNX19,0.818
SNX2,0.521
SNX20,1.455
SNX21,1.448
SNX22,1.558
SNX24,1.807
SNX25,0.628
SNX27,0.447
SNX29,0.845
SNX3,0.517
SNX30,0.7
SNX31,1.008
SNX32,1.232
SNX33,0.623
SNX4,1.076
SNX5,0.952
SNX6,0.697
SNX7,0.93
SNX8,0.662
SNX9,0.628
SOAT1,0.988
SOAT2,1.403
SOBP,0.191
SOCS1,1.473
SOCS2,0.829
SOCS3,0.965
SOCS4,0.817
SOCS5,0.98
SOCS6,0.319
SOCS7,0.488
SOD1,1.514
SOD2,0.532
SOD3,1.932
SOGA1,0.625
SOGA3,0.933
SOHLH1,0.979
SOHLH2,0.595
SON,0.051
SORBS1,0.548
SORBS2,0.582
SORBS3,0.634
SORCS1,0.481
SORCS2,0.97
SORCS3,0.459
SORD,0.929
SORL1,0.501
SORT1,0.528
SOST,1.634
SOSTDC1,0.828
SOS 1,0.143
SOS 2,0.415
SOWAHA,1.704
SOWAHB,1.342
SOWAHC,1.378
SOX1,1.95
SOX10,0.248
SOX11,1.148
SOX12,0.89
SOX13,0.631
SOX14,0.72
SOX15,1.314
SOX17,0.614
SOX18,1.483
SOX2,0.302
SOX21,1.716
SOX30,0.488
SOX4,0.72
SOX5,0.121
SOX6,0.116
SOX7,1.373
SOX8,0.904
SOX9,0.154
SP1,0.115
SP100,0.763
SP110,0.826
SP140,0.635
SP140L,1.089
SP2,0.314
SP3,0.19
SP4,0.24
SP5,1.115
SP6,0.873
SP7,0.808
SP8,1.133
SP9,0.731
SPA17,1.126
SPACA1,0.822
SPACA3,1.202
SPACA4,1.892
SPACA7,1.555
SPACA9,1.326
SPAG1,1.07
SPAG11A,1.638
SPAG11B,1.102
SPAG16,1.101
SPAG17,0.663
SPAG4,0.762
SPAG5,0.764
SPAG6,0.99
SPAG7,0.815
SPAG8,1.042
SPAG9,0.241
SPAM1,1.01
SPARC,0.821
SPARCL1,0.932
SPART,0.759
SPAST,0.556
SPATA1,1.389
SPATA12,1.864
SPATA13,0.601
SPATA16,0.759
SPATA17,1.32
SPATA18,0.941
SPATA19,1.054
SPATA2,0.403
SPATA20,0.838
SPATA21,0.97
SPATA22,0.913
SPATA24,0.852
SPATA25,1.518
SPATA2L,1.405
SPATA3,1.851
SPATA31A1,0.605
SPATA31A3,1.032
SPATA31A6,1.498
SPATA31A7,0.576
SPATA31C1,0.891
SPATA31C2,1.379
SPATA31D1,0.877
SPATA31D3,1.867
SPATA31D4,1.938
SPATA31E1,1.09
SPATA32,1.081
SPATA33,1.772
SPATA4,1.602
SPATA45,1.134
SPATA46,0.923
SPATA48,1.348
SPATA5,0.833
SPATA5L1,1.162
SPATA6,0.996
SPATA6L,1.675
SPATA7,1.12
SPATA9,1.385
SPATC1,1.264
SPATC1L,1.793
SPATS1,0.903
SPATS2,0.765
SPATS2L,0.722
SPC24,1.822
SPC25,0.735
SPCS1,0.991
SPCS2,0.332
SPCS3,0.623
SPDEF,0.542
SPDL1,1.23
SPDYA,0.567
SPDYC,0.906
SPDYE1,1.043
SPDYE10P,0.786
SPDYE12P,0.89
SPDYE16,0.398
SPDYE18,0.564
SPDYE2,0.841
SPDYE21,0.792
SPDYE3,0.761
SPDYE4,1.137
SPDYE5,0.657
SPDYE6,0.303
SPDYE7P,1.271
SPECC1,0.616
SPECC1L,0.434
SPECC1L-ADORA2A,
SPEF1,1.32
SPEF2,0.908
SPEG,0.35
SPEGNB,1.296
SPEM1,1.725
SPEM2,1.292
SPEN,0.094
SPESP1,1.913
SPG11,0.83
SPG21,0.891
SPG7,1.433
SPHK1,1.326
SPHK2,0.804
SPHKAP,0.561
SPI1,0.217
SPIB,0.57
SPIC,1.091
SPICE1,0.895
SPIDR,0.949
SPIN1,0.253
SPINDOC,0.708
SPINK1,1.03
SPINK13,1.851
SPINK14,1.116
SPINK2,1.744
SPINK4,1.242
SPINK5,0.82
SPINK6,1.779
SPINK7,1.294
SPINK8,1.444
SPINK9,0.929
SPINT1,0.852
SPINT2,0.888
SPINT3,1.875
SPINT4,1.447
SPIRE1,0.573
SPIRE2,1.346
SPN,1.535
SPNS1,0.591
SPNS2,0.873
SPNS3,1.137
SPO11,1.261
SPOCD1,0.759
SPOCK1,0.557
SPOCK2,0.884
SPOCK3,0.643
SPON1,0.687
SPON2,1.563
SPOP,0.33
SPOPL,0.585
SPOUT1,0.977
SPP1,1.033
SPP2,1.641
SPPL2A,1.074
SPPL2B,1.049
SPPL2C,1.121
SPPL3,0.214
SPR,1.528
SPRED1,0.465
SPRED2,1.255
SPRED3,1.334
SPRING1,0.85
SPRN,
SPRR1A,1.259
SPRR1B,1.858
SPRR2A,1.926
SPRR2B,1.93
SPRR2D,1.518
SPRR2E,1.665
SPRR2F,1.938
SPRR2G,1.897
SPRR3,1.867
SPRR4,1.022
SPRTN,0.447
SPRY1,0.854
SPRY2,0.684
SPRY4,0.724
SPRYD3,0.515
SPRYD4,1.077
SPRYD7,1.022
SPSB1,0.471
SPSB2,1.632
SPSB3,0.78
SPSB4,1.877
SPTA1,0.59
SPTAN1,0.221
SPTB,0.177
SPTBN1,0.159
SPTBN2,0.449
SPTBN4,0.526
SPTBN5,1.241
SPTLC1,0.97
SPTLC2,0.476
SPTLC3,0.828
SPTSSA,1.952
SPTSSB,1.558
SPTY2D1,0.453
SPX,1.698
SPZ1,1.817
SQLE,0.629
SQOR,0.53
SQSTM1,0.806
SRA1,1.217
SRARP,1.9
SRBD1,0.805
SRC,0.383
SRCAP,0.192
SRCIN1,0.698
SRD5A1,1.11
SRD5A2,1.717
SRD5A3,0.966
SREBF1,0.602
SREBF2,0.576
SREK1,0.3
SREK1IP1,0.937
SRF,0.281
SRFBP1,1.242
SRGAP1,0.46
SRGAP2,0.556
SRGAP2B,1.804
SRGAP2C,1.914
SRGAP3,0.357
SRGN,0.811
SRI,1.234
SRL,0.807
SRM,0.593
SRMS,1.445
SRP14,0.322
SRP19,0.748
SRP54,0.304
SRP68,0.33
SRP72,0.58
SRP9,0.624
SRPK1,0.732
SRPK2,0.285
SRPRA,0.599
SRPRB,1.05
SRR,0.864
SRRD,1.209
SRRM1,0.188
SRRM2,0.172
SRRM3,0.924
SRRM4,0.654
SRRM5,1.868
SRRT,0.404
SRSF1,0.17
SRSF10,0.492
SRSF11,0.199
SRSF12,0.801
SRSF2,0.493
SRSF3,0.145
SRSF4,0.307
SRSF5,0.233
SRSF6,0.463
SRSF7,0.541
SRSF8,1.797
SRSF9,0.328
SRXN1,1.776
SS18,0.404
SS18L1,0.595
SS18L2,1.403
SSB,0.354
SSBP1,0.838
SSBP2,0.476
SSBP3,0.144
SSBP4,0.578
SSC4D,1.353
SSC5D,1.266
SSH1,0.649
SSH2,0.293
SSH3,1.032
SSMEM1,1.723
SSNA1,1.745
SSPN,1.533
SSR1,0.546
SSR2,0.9
SSR3,0.812
SSRP1,0.324
SST,1.529
SSTR1,0.808
SSTR2,0.756
SSTR3,1.881
SSTR4,
SSTR5,1.931
SSU72,0.825
SSUH2,1.14
SSX2IP,0.8
ST13,0.603
ST14,0.589
ST18,0.539
ST20,1.617
ST20-MTHFS,0.827
ST3GAL1,0.728
ST3GAL2,0.617
ST3GAL3,0.377
ST3GAL4,0.762
ST3GAL5,0.591
ST3GAL6,0.963
ST6GAL1,0.733
ST6GAL2,0.893
ST6GALNAC1,0.984
ST6GALNAC2,1.519
ST6GALNAC3,0.994
ST6GALNAC4,1.113
ST6GALNAC5,1.122
ST6GALNAC6,0.7
ST7,0.429
ST7L,0.881
ST8SIA1,0.65
ST8SIA2,0.742
ST8SIA3,0.735
ST8SIA4,0.683
ST8SIA5,0.787
ST8SIA6,1.514
STAB1,0.829
STAB2,0.872
STAC,1.125
STAC2,0.866
STAC3,0.787
STAG1,0.159
STAG3,0.763
STAM,0.466
STAM2,1.02
STAMBP,0.762
STAMBPL1,1.13
STAP1,0.982
STAP2,1.343
STAR,1.297
STARD10,0.818
STARD13,0.706
STARD3,0.784
STARD3NL,0.645
STARD4,1.557
STARD5,1.42
STARD6,1.139
STARD7,0.814
STARD9,0.893
STAT1,0.25
STAT2,0.49
STAT3,0.089
STAT4,0.503
STAT5A,0.313
STAT5B,0.268
STAT6,0.431
STATH,1.364
STAU1,0.293
STAU2,0.363
STBD1,1.666
STC1,0.558
STC2,0.589
STEAP1,1.054
STEAP1B,0.769
STEAP2,0.798
STEAP3,1.259
STEAP4,1.054
STH,1.954
STIL,0.547
STIM1,0.422
STIM2,0.506
STIMATE,0.655
STIMATE-MUSTN1,0.787
STING1,0.846
STIP1,0.282
STK10,0.85
STK11,0.328
STK11IP,0.985
STK16,0.979
STK17A,0.793
STK17B,0.89
STK19,1.038
STK24,0.512
STK25,0.54
STK3,1.012
STK31,0.757
STK32A,1.134
STK32B,1.024
STK32C,0.863
STK33,1.002
STK35,0.768
STK36,0.838
STK38,0.639
STK38L,0.612
STK39,0.355
STK4,0.586
STK40,0.356
STKLD1,1.179
STMN1,0.404
STMN2,0.25
STMN3,1.767
STMN4,0.487
STMND1,1.086
STMP1,1.551
STN 1.00,0.975
STOM,0.966
STOML1,1.037
STOML2,0.664
STOML3,1.236
STON1,1.523
STON1-GTF2A1L,1.295
STON2,0.588
STOX1,0.92
STOX2,0.552
STPG1,1.084
STPG2,1.279
STPG3,1.62
STPG4,1.605
STRA6,0.716
STRA8,0.752
STRADA,0.475
STRADB,0.775
STRAP,0.495
STRBP,0.274
STRC,0.713
STRIP1,0.732
STRIP2,0.886
STRN,0.686
STRN3,0.336
STRN4,0.494
STT3A,0.502
STT3B,0.341
STUB1,1.23
STUM,1.06
STX10,1.244
STX11,1.423
STX12,0.569
STX16,0.961
STX16-NPEPL1,
STX17,1.082
STX18,0.913
STX19,1.419
STX1A,0.257
STX1B,0.304
STX2,1.022
STX3,0.674
STX4,0.813
STX5,0.475
STX6,0.835
STX7,0.899
STX8,0.923
STXBP1,0.083
STXBP2,0.846
STXBP3,0.774
STXBP4,0.935
STXBP5,0.291
STXBP5L,0.465
STXBP6,1.118
STYK1,1.138
STYX,0.796
STYXL1,1.216
STYXL2,1.028
SUB1,0.394
SUCLA2,0.711
SUCLG1,0.958
SUCLG2,1.124
SUCNR1,1.97
SUCO,0.435
SUDS3,0.647
SUFU,0.214
SUGCT,0.992
